Harga,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Lokasi,Lokasi_encoded
700000000,3,2,1,60,55,Sawangan,1955035704.9314709
1770000000,3,2,0,177,160,Sukmajaya,2051098919.7510288
1220000000,3,2,0,72,100,Cinere,4852868864.173362
2100000000,3,3,0,165,180,Cinere,4680491988.075328
3100000000,4,3,0,150,230,Beji,3879711604.646512
680000000,3,2,0,66,77,Limo,2033449973.750656
930000000,2,1,0,90,38,Sukmajaya,2087985421.0505264
780000000,2,1,0,85,50,Pancoran Mas,2665252674.71786
940000000,2,1,0,72,47,Pancoran Mas,3409127772.846495
1660000000,3,2,0,79,110,Cinere,4541094465.716549
780000000,2,2,0,100,72,Pancoran Mas,3359214486.389816
1660000000,4,4,0,208,200,Limo,2082024973.680263
2710000000,3,2,0,230,242,Limo,2013263741.7615285
1330000000,4,2,0,98,95,Sukmajaya,2051098919.7510288
1280000000,2,1,0,86,60,Limo,2101731233.2412868
780000000,3,2,0,77,71,Cilodong,1541574045.137153
1350000000,3,2,2,84,95,Pancoran Mas,3395635733.692935
885000000,3,2,1,45,69,Cimanggis,2466095424.086244
1200000000,2,1,1,62,52,Cinere,4909606244.598561
390000000,2,1,1,77,36,Sawangan,2214365602.382716
590000000,2,1,0,60,40,Limo,2013263741.7615285
3500000000,5,3,2,207,150,Cinere,4541094465.716549
875000000,2,1,1,104,55,Sawangan,2233344847.4117646
2750000000,4,2,2,225,240,Cinere,4541094465.716549
3450000000,4,5,2,200,200,Cinere,4680491988.075328
2300000000,3,3,1,230,180,Cinere,4852868864.173362
1600000000,3,2,1,170,150,Cinere,4778631550.604929
50000000,3,2,0,63,48,Sawangan,1658701541.0946062
3300000000,3,2,0,169,200,Cinere,4541094465.716549
1000000000,4,3,2,77,101,Cinere,4909606244.598561
1000000000,3,3,0,65,78,Sawangan,2233344847.4117646
1620000000,5,4,0,98,150,Cinere,4909606244.598561
1410000000,3,3,0,123,110,Cinere,4778631550.604929
830000000,2,2,0,72,54,Cinere,4541094465.716549
983000000,3,3,1,65,78,Sawangan,2214365602.382716
610000000,2,1,0,90,60,Cilodong,1147008984.7250674
1350000000,3,2,0,52,90,Beji,3683624225.6842737
1110000000,3,2,0,90,134,Cilodong,1147008984.7250674
560000000,2,1,0,70,45,Limo,2033449973.750656
2770000000,4,3,0,160,160,Cilodong,1618993457.942226
820000000,2,1,0,96,50,Cilodong,1625010649.3489175
1110000000,3,3,0,100,180,Citayam,648777777.7777778
720000000,2,2,0,84,36,Cilodong,1618993457.942226
1110000000,3,3,0,100,180,Cilodong,1625010649.3489175
2550000000,3,2,0,181,171,Beji,3683624225.6842737
700000000,3,2,1,60,55,Limo,2033449973.750656
385000000,3,2,1,50,60,Pancoran Mas,3359214486.389816
499000000,2,1,1,72,36,Sawangan,2218094374.7286887
500000000,2,1,1,65,48,Sawangan,2214365602.382716
985000000,4,3,2,72,125,Cinere,4852868864.173362
700000000,3,2,1,70,70,Sawangan,2233344847.4117646
1000000000,3,3,1,60,85,Pancoran Mas,2665252674.71786
700000000,3,2,1,60,55,Pancoran Mas,3359214486.389816
990000000,3,2,1,65,75,Limo,2101731233.2412868
1750000000,5,4,1,82,160,Pancoran Mas,3359214486.389816
1570000000,5,3,0,90,120,Beji,3958941566.261446
700000000,3,2,2,66,78,Sawangan,2214365602.382716
2500000000,3,3,1,230,160,Cinere,4541094465.716549
3400000000,4,3,3,240,280,Cinere,4909606244.598561
1880000000,3,2,0,126,160,Beji,3958941566.261446
1660000000,4,3,0,88,113,Beji,3834212579.500589
1470000000,3,3,0,125,105,Cinere,4778631550.604929
780000000,2,1,0,85,50,Sawangan,2233344847.4117646
940000000,3,2,0,72,67,Sawangan,1955035704.9314709
2440000000,3,2,0,100,150,Cinere,4680491988.075328
1500000000,4,4,0,76,130,Cinere,4852868864.173362
610000000,2,1,0,78,50,Sukmajaya,2087578294.174668
940000000,2,1,0,94,65,Sukmajaya,2020622313.2006145
820000000,2,1,0,96,50,Sukmajaya,2058659104.6257544
1220000000,3,2,0,72,100,Limo,2101731233.2412868
780000000,2,2,0,84,60,Cimanggis,2489429483.9539747
950000000,3,2,0,84,114,Sawangan,2218094374.7286887
3600000000,5,5,2,300,300,Cinere,4852868864.173362
2530000000,4,3,0,144,185,Cinere,4778631550.604929
1440000000,3,2,0,90,90,Cimanggis,2489429483.9539747
970000000,2,2,0,86,70,Sukmajaya,2087985421.0505264
670000000,2,1,0,70,36,Cimanggis,2489429483.9539747
1440000000,3,2,0,94,58,Citayam,631855643.0446194
830000000,3,2,0,90,70,Citayam,631855643.0446194
970000000,2,2,0,86,70,Cilodong,1627149868.7655294
940000000,2,1,0,94,65,Cilodong,1627149868.7655294
720000000,2,1,0,72,72,Beji,3879711604.646512
730000000,3,2,1,70,70,Sawangan,2214365602.382716
3500000000,3,2,1,285,175,Cinere,4909606244.598561
720000000,2,1,0,72,65,Cilodong,1541574045.137153
1000000000,3,3,2,64,100,Limo,2033449973.750656
875000000,3,2,1,63,75,Pancoran Mas,3409127772.846495
990000000,4,3,2,72,125,Pancoran Mas,3359214486.389816
1300000000,4,3,2,98,125,Pancoran Mas,3359214486.389816
700000000,3,2,1,70,70,Pancoran Mas,2480917164.813834
499000000,2,1,1,72,36,Citayam,590709923.6641221
1000000000,3,3,1,70,90,Grand Depok City,1660500000.0
540000000,2,2,0,72,65,Citayam,648777777.7777778
1970000000,2,2,3,202,93,Cinere,4909606244.598561
1400000000,3,3,2,112,120,Sawangan,2214365602.382716
499000000,2,1,1,60,45,Sawangan,2214365602.382716
720000000,3,2,1,51,70,Cilodong,1618993457.942226
1300000000,3,3,2,111,90,Sukmajaya,2020622313.2006145
1250000000,3,3,1,73,85,Margonda,4886861206.896552
891000000,3,2,2,61,55,Cinere,4778631550.604929
780000000,2,2,0,100,72,Sukmajaya,2087578294.174668
280000000,2,1,1,50,36,Sawangan,1658701541.0946062
1250000000,2,2,1,112,95,Cinere,4852868864.173362
695000000,3,2,1,51,70,Sukmajaya,2051098919.7510288
900000000,4,3,0,138,150,Sukmajaya,2020622313.2006145
695000000,2,1,1,89,43,Tapos,1979943661.9700704
695000000,3,2,2,55,60,Sawangan,2214365602.382716
890000000,3,2,2,61,55,Limo,2165110767.227568
276000000,2,1,1,50,36,Sawangan,1658701541.0946062
2000000000,4,4,1,120,160,Cinere,4778631550.604929
275000000,2,1,1,50,36,Sawangan,1955035704.9314709
1050000000,3,2,0,72,115,Cilodong,1541574045.137153
940000000,2,1,0,72,47,Sawangan,1658701541.0946062
340000000,2,1,0,60,42,Citayam,590709923.6641221
1420000000,4,3,0,150,200,Citayam,622997487.4371859
1620000000,5,4,0,98,150,Beji,3834212579.500589
610000000,2,1,0,78,50,Cilodong,1618993457.942226
740000000,2,1,0,84,56,Cimanggis,2433828383.0610685
2710000000,3,2,0,230,242,Beji,2531746438.674528
1770000000,3,2,0,100,83,Beji,3683624225.6842737
780000000,3,2,0,77,71,Citayam,622997487.4371859
4000000000,4,4,1,260,400,Cinere,4778631550.604929
380000000,2,1,1,60,36,Cinangka,6758682334.384858
345000000,2,1,1,55,36,Cinangka,6782590476.190476
3250000000,3,2,1,300,160,Cinere,4852868864.173362
1050000000,3,2,1,60,75,Pancoran Mas,3359214486.389816
1390000000,3,2,0,52,90,Beji,3958941566.261446
1390000000,3,2,0,93,93,Beji,3958941566.261446
500000000,2,1,0,82,82,Citayam,622997487.4371859
1400000000,3,3,1,70,80,Beji,3958941566.261446
1040000000,3,2,0,72,80,Citayam,590709923.6641221
1440000000,4,3,0,108,150,Cimanggis,2546075969.094804
1660000000,4,4,0,208,200,Sawangan,2233344847.4117646
500000000,2,1,0,120,80,Citayam,631855643.0446194
780000000,2,1,0,72,36,Sawangan,2218094374.7286887
1770000000,3,2,0,177,160,Citayam,622997487.4371859
780000000,2,2,0,84,60,Sukmajaya,2058659104.6257544
1300000000,2,2,2,144,70,Sawangan,2218094374.7286887
3250000000,4,4,2,289,335,Cinere,4778631550.604929
3600000000,4,5,2,200,200,Cinere,4541094465.716549
2300000000,2,1,2,225,100,Harjamukti,2718385205.473973
560000000,2,1,0,72,72,Cipayung,682827093.5960591
2600000000,4,3,1,240,227,Sawangan,1658701541.0946062
2900000000,5,4,2,240,300,Sawangan,2233344847.4117646
845000000,2,1,1,85,40,Limo,2101731233.2412868
880000000,3,2,2,70,60,Cimanggis,2466095424.086244
950000000,2,1,1,98,50,Beji,3683624225.6842737
1180000000,2,1,1,120,115,Tanah Baru,1655643181.8181818
1500000000,4,4,0,76,130,Beji,3958941566.261446
830000000,3,2,0,90,70,Pancoran Mas,3409127772.846495
1990000000,4,3,0,90,110,Beji,2531746438.674528
2440000000,3,2,0,100,150,Beji,3879711604.646512
680000000,3,2,0,90,69,Cilodong,1541574045.137153
780000000,2,1,0,84,56,Tapos,1956323999.998261
3320000000,5,5,0,176,300,Beji,2531746438.674528
610000000,3,1,0,72,60,Cilodong,1625010649.3489175
680000000,2,1,0,78,36,Cilodong,1147008984.7250674
470000000,2,1,0,81,45,Cipayung,679467980.2955666
1400000000,3,2,0,77,90,Beji,3879711604.646512
165000000,2,1,1,60,36,Depok I,2220955244.753846
710000000,2,1,0,121,65,Cipayung,678257216.4948454
185000000,2,1,0,40,36,Depok I,2220955244.753846
380000000,3,2,0,60,55,Depok I,2247611838.7553043
317000000,2,1,1,40,38,Depok II,2159771892.6553674
4000000000,5,3,1,515,400,Cibubur,3381793172.113798
530000000,2,1,0,116,50,Cilodong,1627149868.7655294
1440000000,3,2,0,94,58,Pancoran Mas,2480917164.813834
1440000000,3,2,0,200,170,Cimanggis,2476460973.56815
860000000,2,1,0,70,45,Limo,2165110767.227568
1350000000,3,3,0,90,70,Cilodong,1625010649.3489175
860000000,3,1,0,66,55,Bojong Sari,1381708148.1462965
2530000000,4,3,0,144,185,Beji,3958941566.261446
930000000,2,1,0,90,38,Cilodong,1625010649.3489175
2350000000,3,2,1,200,120,Cinere,4541094465.716549
3000000000,6,3,4,270,250,Pancoran Mas,3395635733.692935
1510000000,3,2,0,128,81,Pancoran Mas,3395635733.692935
940000000,3,2,0,72,67,Limo,2082024973.680263
740000000,2,1,0,105,85,Limo,2165110767.227568
2330000000,3,2,0,140,145,Beji,3879711604.646512
770000000,2,1,0,104,72,Tapos,1956323999.998261
770000000,2,1,0,104,72,Cilodong,1625010649.3489175
780000000,2,1,0,84,56,Cilodong,1147008984.7250674
1510000000,3,2,0,128,81,Limo,2033449973.750656
600000000,3,2,2,72,65,Cilodong,1541574045.137153
1350000000,3,3,0,90,70,Pancoran Mas,2665252674.71786
780000000,2,1,1,72,45,Cimanggis,2546075969.094804
999000000,2,2,1,48,45,Mekarsari,1687936708.8607595
980000000,3,2,1,106,115,Sukatani,1697840579.710145
600000000,2,1,2,75,45,Cinangka,6758682334.384858
1330000000,2,1,0,90,60,Tapos,1900826465.3641207
385000000,2,1,1,55,40,Cinangka,4192347678.018576
780000000,2,1,0,85,50,Limo,2165110767.227568
1440000000,3,2,0,90,90,Pancoran Mas,3395635733.692935
400000000,1,1,1,77,42,Bojong Sari,1365310808.268797
1000000000,2,1,0,83,36,Cimanggis,2466095424.086244
610000000,2,1,0,78,50,Pancoran Mas,2480917164.813834
2600000000,3,2,2,120,140,Pangkalan Jati,5508709273.157895
450000000,2,1,0,84,60,Cilodong,1147008984.7250674
950000000,3,2,0,84,114,Limo,2082024973.680263
1770000000,3,2,0,75,84,Beji,3834212579.500589
1110000000,3,2,0,90,144,Cilodong,1625010649.3489175
940000000,2,1,0,72,47,Limo,2013263741.7615285
1170000000,3,2,0,90,164,Cilodong,1627149868.7655294
1050000000,3,2,0,72,115,Tapos,1956323999.998261
720000000,2,1,0,72,72,Pancoran Mas,2480917164.813834
720000000,2,1,0,72,65,Citayam,631855643.0446194
820000000,2,1,0,96,50,Citayam,631855643.0446194
1770000000,3,2,0,177,160,Cilodong,1541574045.137153
1660000000,4,2,0,89,101,Beji,2531746438.674528
830000000,3,2,0,90,70,Cipayung,682827093.5960591
1300000000,2,2,1,128,90,Cimanggis,2476460973.56815
4700000000,7,4,2,240,270,Sukmajaya,2087578294.174668
1300000000,5,2,1,180,120,Depok I,2267178620.197724
700000000,2,2,0,54,96,Harjamukti,2718385205.473973
895000000,2,1,1,105,45,Cimanggis,2546075969.094804
350000000,2,1,0,60,40,Citayam,631855643.0446194
650000000,2,2,1,49,60,Cimanggis,2546075969.094804
2750000000,2,1,0,207,110,Cimanggis,2489429483.9539747
1300000000,3,3,1,60,150,Tanah Baru,1655643181.8181818
359000000,2,1,1,60,38,Depok II,2159771892.6553674
250000000,2,1,1,50,40,Citayam,648777777.7777778
1700000000,4,4,2,144,150,Sawangan,2233344847.4117646
740000000,2,1,0,84,56,Cilodong,1627149868.7655294
1650000000,4,2,1,95,215,Sawangan,1658701541.0946062
1650000000,4,2,1,95,215,Cinere,4909606244.598561
680000000,2,1,0,78,36,Tapos,2062443999.998261
1330000000,2,1,0,90,60,Cilodong,1625010649.3489175
5500000000,4,3,1,600,400,Margonda,5093899109.789317
1350000000,4,3,2,58,140,Tanah Baru,1655643181.8181818
3970000000,4,4,2,500,300,Beji,2531746438.674528
995000000,3,3,2,71,90,Cilodong,1147008984.7250674
600000000,2,1,1,55,45,Sawangan,2218094374.7286887
1600000000,3,2,1,84,110,Cinere,4778631550.604929
1150000000,3,2,2,65,94,Krukut,8555485915.485915
1850000000,4,3,1,173,170,Cinere,4778631550.604929
3500000000,4,4,2,300,326,Cinere,4852868864.173362
2150000000,5,4,1,140,150,Cinere,4852868864.173362
2300000000,3,2,1,240,200,Cinere,4680491988.075328
1700000000,3,3,2,70,140,Cinere,4541094465.716549
3000000000,3,3,2,153,165,Tapos,1900826465.3641207
450000000,2,1,1,60,45,Sawangan,1658701541.0946062
4500000000,5,3,1,214,248,Grand Depok City,1660500000.0
471000000,2,1,1,72,36,Citayam,648777777.7777778
788000000,2,2,2,50,55,Cimanggis,2546075969.094804
1400000000,4,3,2,72,80,Kukusan,2048049468.0851064
1800000000,3,3,1,120,100,Cinere,4909606244.598561
720000000,3,2,1,60,65,Depok II,2344923342.5414367
528000000,1,1,0,98,39,Bojong Sari,1334460727.270909
690000000,2,1,1,70,40,Sawangan,2218094374.7286887
880000000,3,2,1,60,75,Sawangan,1658701541.0946062
1650000000,2,2,0,172,120,Pancoran Mas,2480917164.813834
816000000,3,3,1,60,100,Bojong Sari,1365310808.268797
605000000,3,2,1,50,75,Grand Depok City,1842945945.945946
2700000000,3,2,1,169,200,Cinere,4778631550.604929
630000000,3,2,1,72,110,Cilodong,1627149868.7655294
185000000,2,1,1,70,50,Citayam,622997487.4371859
2900000000,4,2,3,320,150,Pangkalan Jati,5544385542.13253
1500000000,3,3,1,83,112,Tanah Baru,1647407017.540351
1250000000,2,2,0,121,170,Tugu,2292232142.857143
690000000,3,2,1,90,53,Citayam,665709595.9595959
3900000000,3,4,2,118,250,Pangkalan Jati,5453610451.277909
450000000,2,1,0,105,55,Citayam,590709923.6641221
750000000,2,1,0,85,48,Pancoran Mas,3359214486.389816
4000000000,4,3,2,421,241,Sawangan,1658701541.0946062
690000000,2,2,2,55,60,Bojong Sari,1352678465.804067
1850000000,3,3,2,124,178,Cinere,4541094465.716549
3500000000,5,4,2,280,250,Cinere,4909606244.598561
678000000,1,1,0,60,36,Bojong Sari,1365310808.268797
195000000,2,1,1,50,36,Sawangan,2214365602.382716
1150000000,3,2,2,84,105,Sukmajaya,2020622313.2006145
1800000000,3,2,1,96,120,Cinere,4852868864.173362
775000000,2,2,1,98,70,Cinangka,6782590476.190476
485000000,2,1,1,60,45,Depok I,2090200791.6652775
3200000000,3,2,1,178,156,Pangkalan Jati,5513785714.257143
845000000,3,2,2,56,71,Kelapa Dua,2430041420.118344
400000000,3,2,0,90,70,Depok I,2248009733.331852
2300000000,2,1,0,225,100,Cibubur,2981969911.4970503
1500000000,2,1,1,108,48,Cimanggis,2546075969.094804
1300000000,3,2,0,60,60,Pancoran Mas,3395635733.692935
